# time  created  delivered  delivered/created
22.0000 1 0 0.0000
38.0000 2 0 0.0000
54.0000 3 0 0.0000
72.0000 4 0 0.0000
94.0000 5 0 0.0000
110.0000 6 0 0.0000
133.0000 7 0 0.0000
153.0000 8 0 0.0000
175.0000 9 0 0.0000
191.0000 10 0 0.0000
210.0000 11 0 0.0000
225.0000 12 0 0.0000
249.0000 13 0 0.0000
265.0000 14 0 0.0000
281.0000 15 0 0.0000
304.0000 16 0 0.0000
328.0000 17 0 0.0000
343.0000 18 0 0.0000
367.0000 19 0 0.0000
382.0000 20 0 0.0000
399.0000 21 0 0.0000
420.0000 22 0 0.0000
439.0000 23 0 0.0000
458.0000 24 0 0.0000
480.0000 25 0 0.0000
497.0000 26 0 0.0000
515.0000 27 0 0.0000
538.0000 28 0 0.0000
562.0000 29 0 0.0000
581.0000 30 0 0.0000
581.2000 30 1 0.0333
603.0000 31 1 0.0323
625.0000 32 1 0.0313
640.9000 32 2 0.0625
646.0000 33 2 0.0606
661.6000 33 3 0.0909
667.0000 34 3 0.0882
684.0000 34 4 0.1176
685.0000 35 4 0.1143
691.0000 35 5 0.1429
700.0000 36 5 0.1389
722.0000 37 5 0.1351
741.0000 38 5 0.1316
764.0000 39 5 0.1282
773.6000 39 6 0.1538
784.0000 40 6 0.1500
806.0000 41 6 0.1463
829.0000 42 6 0.1429
851.0000 43 6 0.1395
873.0000 44 6 0.1364
895.0000 45 6 0.1333
903.5000 45 7 0.1556
918.0000 46 7 0.1522
941.0000 47 7 0.1489
957.0000 48 7 0.1458
975.0000 49 7 0.1429
998.0000 50 7 0.1400
1018.0000 51 7 0.1373
1040.0000 52 7 0.1346
1056.0000 53 7 0.1321
1077.0000 54 7 0.1296
1096.0000 55 7 0.1273
1117.0000 56 7 0.1250
1137.0000 57 7 0.1228
1159.0000 58 7 0.1207
1179.0000 59 7 0.1186
1193.3000 59 8 0.1356
1201.0000 60 8 0.1333
1216.0000 61 8 0.1311
1225.1000 61 9 0.1475
1226.1000 61 10 0.1639
1232.0000 62 10 0.1613
1251.0000 63 10 0.1587
1268.0000 64 10 0.1563
1287.0000 65 10 0.1538
1308.0000 66 10 0.1515
1327.0000 67 10 0.1493
1342.0000 68 10 0.1471
1364.0000 69 10 0.1449
1388.0000 70 10 0.1429
1397.1000 70 11 0.1571
1407.0000 71 11 0.1549
1422.0000 72 11 0.1528
1442.0000 73 11 0.1507
1464.0000 74 11 0.1486
1476.9000 74 12 0.1622
1479.0000 75 12 0.1600
1483.1000 75 13 0.1733
1500.0000 76 13 0.1711
1518.0000 77 13 0.1688
1542.0000 78 13 0.1667
1562.0000 79 13 0.1646
1577.0000 80 13 0.1625
1585.3000 80 14 0.1750
1594.5000 80 15 0.1875
1600.0000 81 15 0.1852
1620.0000 82 15 0.1829
1637.0000 83 15 0.1807
1652.0000 84 15 0.1786
1673.0000 85 15 0.1765
1695.0000 86 15 0.1744
1707.0000 86 16 0.1860
1709.8000 86 17 0.1977
1713.0000 87 17 0.1954
1736.2000 87 18 0.2069
1737.0000 88 18 0.2045
1739.4000 88 19 0.2159
1739.8000 88 20 0.2273
1760.0000 89 20 0.2247
1781.0000 90 20 0.2222
1804.0000 91 20 0.2198
1812.7000 91 21 0.2308
1826.0000 92 21 0.2283
1849.0000 93 21 0.2258
1870.0000 94 21 0.2234
1881.2000 94 22 0.2340
1882.8000 94 23 0.2447
1890.0000 95 23 0.2421
1911.0000 96 23 0.2396
1929.0000 97 23 0.2371
1948.0000 98 23 0.2347
